frequency,reflection_coeff,transmission_coeff,permeability_rel,permitivity_rel,reflection_loss
4160000000.0,0.4018764162930155,0.8981987560496373,0.6428364911528041,2.5608882696884447,9.436449915544012
4240000000.0,0.40220697731551547,0.8980873163129868,0.6535884346621149,2.583969245647044,9.519414921684444
4320000000.0,0.40156079861733623,0.8960922634698599,0.6665519849172072,2.5995946404685717,9.562828306149523
4400000000.0,0.40421292787865587,0.8962981797317578,0.6727053852414395,2.6328959352339956,9.560229077672215
4480000000.0,0.40639153233506037,0.8984597066993656,0.6792203682548723,2.66565437947398,9.52227068183587
4560000000.0,0.40510311192788984,0.8982200159312742,0.6933032603412929,2.6803393733950784,9.630390465531267
4640000000.0,0.4052321918671104,0.8950020007660264,0.7052277419215778,2.7011817489222807,9.664530092710102
4720000000.0,0.4087775205513317,0.8960961921912542,0.7087826564195988,2.7425150939766,9.603306145353228
4800000000.0,0.4094869354974561,0.8988717517134414,0.7175836564176019,2.76995025924964,9.634210761283018
4880000000.0,0.4083833267230328,0.8988714259507422,0.7317122127671211,2.785961738086921,9.699590511794723
4960000000.0,0.4107075975524786,0.8984472307819276,0.7393222712300698,2.8217945693605313,9.679421093450195
5040000000.0,0.41362362213524645,0.9009861138848705,0.7439777777162235,2.864193376952344,9.631931097403399
5120000000.0,0.41337175926436776,0.9031147361717149,0.7550719683274209,2.8869816842986133,9.675419969055664
5200000000.0,0.4130108998168284,0.9015391866592816,0.7682865298671446,2.9077825922642777,9.72917169847516
5280000000.0,0.4172160454467383,0.9031121970457145,0.7712772770671485,2.9590406567465073,9.6367772863264
5360000000.0,0.41941979401710694,0.9061406630355502,0.7773975686409196,3.001445391992386,9.609773824858959
5440000000.0,0.4182363985025751,0.9064437054618829,0.79047177808923,3.0159093281829046,9.680370735599231
5520000000.0,0.42101755537198715,0.9070455950887553,0.7955247287291759,3.0556091548826205,9.62092352828533
5600000000.0,0.42422868957500015,0.9109765511856651,0.7996748557317239,3.104271900029299,9.55826395717619
5680000000.0,0.42391874449462186,0.9138301103089355,0.8119041375967518,3.1311198648474106,9.607632714580168
5760000000.0,0.42429849132139114,0.9111136992066107,0.823867400043104,3.157817815684714,9.62074921400603
5840000000.0,0.42887300938735545,0.9122264317580716,0.8243870860273251,3.2132014748557216,9.50706613606105
5920000000.0,0.42999836449108464,0.9171338670354342,0.8319317550968242,3.251962467165683,9.508275320045305
6000000000.0,0.4287392674100264,0.9181681367979745,0.8468455593782408,3.2694148394458784,9.574847029290707
6080000000.0,0.4319763831708111,0.916147335669703,0.8524254863663522,3.3174948110380624,9.499488034939311
6160000000.0,0.43596269199841053,0.9187929983764396,0.8538443198207982,3.3787248380320336,9.408374107185436
6240000000.0,0.4350686657739387,0.9224111202015309,0.866536445186882,3.4026674141941844,9.459853682916407
6320000000.0,0.4346643577584608,0.9214441165881554,0.8806343065529217,3.4251210710424633,9.495212809159874
6400000000.0,0.44003129848440875,0.9226920742013318,0.8799230410003692,3.4958577591616393,9.366230487054047
6480000000.0,0.44227795341359927,0.9269888943366298,0.8847631785582033,3.5487441618817845,9.326596963965699
6560000000.0,0.4410984414906471,0.9285197736014486,0.8990309510918001,3.566797766068348,9.372879724424692
6640000000.0,0.4451213492926291,0.9290260818015741,0.9017095723030983,3.6238839403628087,9.272589384096616
6720000000.0,0.4489791091674673,0.9328084234750214,0.9031750269903669,3.690047119543457,9.190106086610847
6800000000.0,0.44847249954178825,0.9368512441764265,0.9153546308009103,3.720517139331901,9.232724614120391
6880000000.0,0.44999250933226004,0.9372973873463418,0.923854995407069,3.7560234450354906,9.207585882670772
6960000000.0,0.4546174009898362,0.9397061152208221,0.9231829969158467,3.8267176812468926,9.093966645692912
7040000000.0,0.4564220300339006,0.9452495846222775,0.9292647859765194,3.882709723595227,9.062734839440969
7120000000.0,0.45675272990540944,0.9486019807925731,0.9416026155596239,3.913926963045594,9.055442257530528
7200000000.0,0.4616019685228548,0.9484250185164335,0.9424824591382817,3.9869397724464046,8.920521085808375
7280000000.0,0.4650784711712003,0.952033031097841,0.9429981835078234,4.057016302531163,8.819816860886853
7360000000.0,0.4648813071399257,0.9572028275716723,0.9547239736284922,4.08989053833794,8.801137604119202
7440000000.0,0.46719541625013516,0.9582695359641218,0.9634985742578922,4.142550459371622,8.743696129767818
7520000000.0,0.4734583562566174,0.959350544747366,0.9581837115651705,4.240320377196776,8.592180926038065
7600000000.0,0.4750471019313596,0.9633846650952178,0.9640982186057724,4.296465943186935,8.519477727724363
7680000000.0,0.475843312511969,0.9677427656523371,0.9749306510977342,4.3342354610076175,8.403242776580885
7760000000.0,0.480792753513258,0.9689305528405099,0.9754847041264365,4.4160733979567715,8.251530841865591
7840000000.0,0.4850326692099001,0.9704563753093578,0.9744224194980778,4.5024805709573315,8.11454610334315
7920000000.0,0.4864262208697537,0.9748667168711997,0.9816613652388585,4.5553153839589635,7.8276760610524745
8000000000.0,0.4895931701755459,0.9780062166272749,0.986716679621772,4.6150129334463115,7.4778469731803625
8080000000.0,0.4946215211824342,0.9797147764309708,0.9849744762281512,4.709311756443943,7.226859205856342
8160000000.0,0.4977816724593445,0.9836340434428674,0.9870627059515892,4.788597458396529,6.814730347585424
8240000000.0,0.5005423031584796,0.9889763721714717,0.9937577231441497,4.853624135015452,6.989655709457395
8320000000.0,0.5071304617959416,0.9928220759078625,0.9895366962645175,4.96355474061144,7.651594690774386
8400000000.0,0.5121010110119836,0.9950653501915503,0.9860881762297544,5.066145778363437,8.631105033688527
8480000000.0,0.5150754037678821,1.002511035641114,0.9908731961658644,5.1404563072015215,-6.167961186251988
8560000000.0,0.5215458990372555,1.0092478370089093,0.9902228554361743,5.252501520311641,-9.62126247067995
8640000000.0,0.5298083065673801,1.0119464880465034,0.979668628108211,5.403245931291039,-6.829448642664523
8720000000.0,0.5337239087917365,1.0162521679547434,0.9788402802501959,5.49589225482816,-6.478822592168621
8800000000.0,0.5394838196222551,1.027478791676103,0.9805855530234525,5.595650686874726,-6.9652640392970335
8880000000.0,0.550146211086137,1.0364311444259668,0.9708718950744312,5.770187536237241,-6.993988453925921
8960000000.0,0.5580854515621192,1.0402876328629762,0.9601631194115908,5.930449193232582,-6.824370670856121
9040000000.0,0.5633097426001888,1.0465998121637814,0.9600305318052597,6.039349659693262,-6.685942322227357
9120000000.0,0.5735556016074299,1.0587567486814558,0.9544309049992081,6.196452418601535,-6.461405662585896
9200000000.0,0.58498559331208,1.0660475875492927,0.9400558605356917,6.409705588802496,-6.228425719062448
9280000000.0,0.5928486913782279,1.071566336087095,0.9318046771743066,6.575119220670026,-6.0716099513123325
9360000000.0,0.6039101218043161,1.084612599423861,0.9267782767037778,6.737161076455188,-5.84726080906894
9440000000.0,0.6203116752383903,1.0973540972947096,0.9096721475465551,7.006649353524595,-5.526981055784965
9520000000.0,0.6305382516219025,1.1035768915955988,0.8978868780228224,7.2117829836088445,-5.3348456469681995
9600000000.0,0.6410924488942654,1.1135120036533988,0.8930390695274372,7.370932699360617,-5.136462060339908
9680000000.0,0.6614126031484822,1.1317046443659413,0.8801628643801286,7.633961076392824,-4.763816763586938
9760000000.0,0.6813930986508464,1.1435830314926294,0.8575806200641745,7.994374047398761,-4.416107852824956
9840000000.0,0.6906952685255741,1.1525616764062916,0.8580308694387083,8.084821993782427,-4.254909678863555
9920000000.0,0.7090317395964673,1.1733129416649246,0.8630829315443457,8.161836041953446,-3.9422644548170678
10000000000.0,0.7391121503403447,1.199181599449277,0.855244367078835,8.40206838939832,-3.4567106889731662
10080000000.0,0.7586855522285894,1.210612633782795,0.8479417705113086,8.606513069853836,-3.1550427491464665
10160000000.0,0.7706718740314972,1.223564314606224,0.8693566721354996,8.469584410377216,-2.9689415326898327
10240000000.0,0.7974210334367828,1.2551402826137459,0.9044202658671339,8.237473990054067,-2.5707747942367036
10320000000.0,0.8291958398995497,1.2829703776785402,0.927274672934671,8.157570639322204,-2.124475044748388
10400000000.0,0.8430496097264567,1.2955367587956552,0.9575521184924402,7.954690283219446,-1.9337366623182333
10480000000.0,0.8589963418999773,1.316983880780238,1.0143388796796144,7.5386557605300455,-1.7171336109697464
10560000000.0,0.8881734900873901,1.3507388166946035,1.0784301837831707,7.144212924157317,-1.341446487950626
10640000000.0,0.908718879883179,1.3709661765832397,1.13029282555021,6.864421305663394,-1.086760640936978
10720000000.0,0.9172542611991269,1.3822823566409899,1.1916392715204156,6.511238532693126,-0.9808487882680917
10800000000.0,0.9390554798225322,1.406383689122846,1.2724444783749937,6.11406063565723,-0.7236050041545108
10880000000.0,0.965182923269201,1.43291252441192,1.349577178911213,5.8004376085545095,-0.4287999198332877
10960000000.0,0.9789650222154193,1.4415579438696857,1.4182563842434739,5.528828172042421,-0.2779074838944557
11040000000.0,0.9937529256904327,1.4523785017153197,1.5031523091621946,5.207484864269429,-0.1214058521082087
11120000000.0,0.9780966795251838,0.6784339175756666,1.5933641648659753,4.9258888156938045,-0.17076550029668053
11200000000.0,0.953103392025343,0.6740545720848459,1.6755982255164026,4.708286021662295,-0.43342234779400524
11280000000.0,0.9396511226977674,0.6742767394820566,1.7629750853124477,4.464875433306452,-0.5715831975687471
11360000000.0,0.9189640482993265,0.6705544239957896,1.8571759698683987,4.224818457132297,-0.786288179930068
11440000000.0,0.8889960970336177,0.6652970500073805,1.9563630458120447,4.024379588784743,-1.1056984038675541
11520000000.0,0.8669654055171927,0.6667102885674409,2.0479155681801426,3.8475364234039433,-1.3409013810138328
11600000000.0,0.8481353431953295,0.6695833936509453,2.1445024419137426,3.6538901414016474,-1.5378878477422544
11680000000.0,0.8223269112858562,0.6671010566333101,2.2539118066867863,3.4682554202646867,-1.8139172157233658
11760000000.0,0.7927863917882849,0.6679952462949441,2.361143908713992,3.31453705789767,-2.1405859634347126
