frequency,reflection_loss
14880000000.0,31.626714774778474
14960000000.0,45.520270319478904
15040000000.0,38.515245949182315
15120000000.0,42.8320247564009
15200000000.0,36.944121416298366
15280000000.0,30.760561703257032
15360000000.0,33.19316147562158
15440000000.0,31.999552310131648
15520000000.0,26.101352914606466
15600000000.0,25.950506653654454
15680000000.0,27.80365569753528
15760000000.0,24.15447735901587
15840000000.0,22.340306325836433
15920000000.0,24.020996758582903
16000000000.0,23.151473349241165
16080000000.0,20.423084236702937
16160000000.0,20.972263911816395
16240000000.0,21.98723108136161
16320000000.0,19.639503834366803
16400000000.0,18.886483867303003
16480000000.0,20.1227089413582
16560000000.0,19.242053997647574
16640000000.0,17.628754845901057
16720000000.0,18.166167385399095
16800000000.0,18.58926937560479
16880000000.0,17.056618150648646
16960000000.0,16.589604015688558
17040000000.0,17.33448469963866
17120000000.0,16.68652992057225
17200000000.0,15.64374995256978
17280000000.0,15.835183692406243
17360000000.0,16.02658104021703
17440000000.0,15.148193531797903
17520000000.0,14.687709649856469
17600000000.0,15.026328807039642
17680000000.0,14.82266078036199
17760000000.0,14.036663253708785
17840000000.0,14.025046978414117
17920000000.0,14.33430541767088
18000000000.0,13.695104158042998
18080000000.0,13.230358529445818
18160000000.0,13.630685640527663
18240000000.0,13.463091844580221
18320000000.0,12.74152061468677
18400000000.0,12.905526288602374
18480000000.0,12.835016490643811
18560000000.0,12.31186535989253
18640000000.0,11.955159966634795
18720000000.0,12.098632631455374
18800000000.0,11.867037383054617
